cc_num,provider,expires
4796807885357879,visa,05/23
4529266636192966,visa,03/22
4922690008243953,visa,02/27
4897369589533543,visa,04/22
4848518335893425,visa,10/26
4419981075128775,visa,02/24
4477118491352015,visa,08/24
4077895609058196,visa,11/26
4540702654946326,visa,05/25
4577917577528649,visa,05/27
4651982168123902,visa,05/23
4266382731398114,visa,10/26
4402257676878392,visa,05/24
4760716646547615,visa,02/23
4996417618942100,visa,09/24
4723886612893743,visa,11/25
4600599737277837,visa,07/25
4245737062754407,visa,11/22
4467730578754137,visa,01/24
4530408675768416,visa,12/26
4002894877268355,visa,03/23
4078187620122790,visa,02/22
4561295401840672,visa,02/22
4537522242338843,visa,11/23
4801857172816668,visa,09/23
4577638675991444,visa,04/23
4637007869765832,visa,03/24
4996156334765383,visa,09/22
4470997162909774,visa,12/22
4125386755756793,visa,11/23
4694825018529159,visa,08/23
4228544492357038,visa,10/24
4729376708188053,visa,02/22
4096367551003080,visa,02/24
4825446018522136,visa,03/22
4974785180120636,visa,08/22
4403752401643557,visa,05/25
4180874301477032,visa,02/22
4226541279921103,visa,02/23
4015928623233217,visa,03/27
4336399961348201,visa,09/25
4734848757178659,visa,02/24
4301976668785487,visa,01/25
4874304025898322,visa,07/25
4382251375646022,visa,03/27
4603671338993166,visa,12/23
4575121023842041,visa,02/24
4156471097109372,visa,05/26
4388543098554499,visa,12/25
4232800028106875,visa,02/27
4478986472077390,visa,10/23
4932794356606049,visa,10/25
4355063108695256,visa,03/25
4045722857601932,visa,07/24
4291880029248544,visa,09/26
4762188703287006,visa,07/26
4636230838127501,visa,02/25
4237235980130917,visa,05/23
4890727481889296,visa,01/25
4544134641441623,visa,10/22
4346625458746673,visa,05/22
4927733348128818,visa,01/26
4492029975568680,visa,11/22
4858250082622206,visa,04/26
4003799536246115,visa,04/22
4107377460794114,visa,03/25
4804713488912948,visa,03/23
4465713419118656,visa,07/26
4670184530498800,visa,01/26
4295469415457855,visa,12/26
4564162231458983,visa,09/25
4502324163930919,visa,06/22
4296739141110146,visa,02/23
4618068032922539,visa,02/26
4834903554209477,visa,10/22
4208189274211609,visa,02/22
4996574944074667,visa,01/22
4852001374785730,visa,01/27
4450263371338055,visa,02/23
4063470084069351,visa,11/22
4295111158682568,visa,12/25
4464698007635586,visa,08/25
4412240992440491,visa,10/22
4912671486611368,visa,03/23
4112612119839750,visa,03/27
4417804876176722,visa,03/24
4231660675549640,visa,01/25
4779791506239800,visa,08/24
4692581232693386,visa,12/26
4119810959439912,visa,01/24
4534470426799971,visa,12/22
4254044590024181,visa,04/27
4391552135393444,visa,09/26
4659295496557788,visa,08/26
4604924388048285,visa,12/23
4459969302608785,visa,05/23
4407064212848912,visa,11/23
4578465265846427,visa,01/23
4916653395002471,visa,03/25
4544203314048765,visa,12/26
4257346065115080,visa,07/22
4235181092936050,visa,02/24
4760227901936378,visa,02/24
4184742108419919,visa,05/25
4673662641541995,visa,08/22
4663486986243146,visa,03/23
4302318834651757,visa,03/25
4027985061271444,visa,10/23
4534283620214097,visa,02/25
4515764990899487,visa,12/25
4221806116013967,visa,01/23
4225547256727018,visa,01/23
4797751386008277,visa,08/25
4155467424394266,visa,04/27
4114577275897108,visa,11/24
4759759177080146,visa,04/27
4533401604007789,visa,07/24
4928442302922211,visa,02/25
4699776282576563,visa,01/26
4989125842799621,visa,04/22
4393774757058422,visa,08/25
4467232297947688,visa,03/22
4300569899980034,visa,02/24
4439469786732172,visa,03/27
4954570175982966,visa,06/26
4272465718946864,visa,10/26
4996553417303563,visa,04/22
4054706366596780,visa,01/26
4745987647938208,visa,01/22
4339372072278598,visa,02/23
4841871056219149,visa,06/25
4902744791992104,visa,10/26
4493177137495372,visa,07/23
4706413324455660,visa,03/22
4484294868115938,visa,12/26
4718401465375983,visa,08/26
4436447837632651,visa,01/22
4225852972930924,visa,03/22
4565376751743421,visa,10/23
4201456952994286,visa,01/25
4871441949960169,visa,09/22
4824418235897204,visa,03/22
4032867195967993,visa,05/23
4653478547722587,visa,04/26
4736061513625884,visa,03/22
4855658408383837,visa,10/26
4940505308708596,visa,06/26
4548418159322176,visa,03/26
4032402570766198,visa,07/26
4418250455051143,visa,03/22
4793203863253483,visa,09/22
4674602807041082,visa,02/26
4066589922263186,visa,12/25
4379423592082670,visa,12/25
4812777581928028,visa,11/24
4000323325541926,visa,07/22
4572840747899770,visa,11/22
4565340585089906,visa,01/23
4302984755459593,visa,06/26
4734351999303680,visa,05/22
4963241168009873,visa,11/22
4962928182239319,visa,11/25
4709001521516926,visa,12/25
4177872707747680,visa,12/24
4806575461679424,visa,01/23
4518698223135508,visa,10/23
4282753786176441,visa,09/25
4383862105580379,visa,03/25
4970538492346835,visa,09/23
4184040521476842,visa,01/24
4162515338183638,visa,04/27
4780643526059519,visa,01/26
4816662071803939,visa,06/26
4948717462453693,visa,09/26
4552309276713764,visa,09/26
4155995497904942,visa,06/22
4085049862790828,visa,07/22
4589039542556831,visa,08/26
4071255470291283,visa,10/23
